2nd Activator, 3rd Activator, 2nd Layer Units, 3rd Layer Units, Train ERROR MSE,Test ERROR MSE,Train ERROR MAE,Test ERROR MAE 
Sigmoid,Rectifier,2,8,0.00504902777655,0.00483883182325,0.0503471637959,0.0498638970073
Sigmoid,Rectifier,2,10,0.00511555734164,0.0049157834889,0.0501493300959,0.0497104823734
Sigmoid,Rectifier,2,12,0.00510584126556,0.00491253015882,0.050672039513,0.050179876066
Sigmoid,Rectifier,4,4,0.00377029376581,0.0035727538703,0.0435267969766,0.0431902892671
Sigmoid,Rectifier,4,6,0.00438036787302,0.0041992751635,0.0468230749849,0.0466325927107
Sigmoid,Rectifier,4,8,0.00370623042672,0.00350519542866,0.0427043673726,0.0424377053918
Sigmoid,Rectifier,4,10,0.00274489726207,0.00266471764263,0.037494997898,0.0373227308816
Sigmoid,Rectifier,4,12,0.00272231036685,0.0026212101661,0.0363901160105,0.0362041182376
Sigmoid,Rectifier,6,4,0.00518852863091,0.00498588359809,0.0495648663379,0.0491538576975
Sigmoid,Rectifier,6,6,0.00528012684976,0.00506043167423,0.0510040894348,0.0506900795789
Sigmoid,Rectifier,6,8,0.00371910329908,0.00355070712955,0.0429417241993,0.0427490289071
Sigmoid,Rectifier,6,10,0.00366545786966,0.00349907565812,0.0430406466271,0.0428664642672
Sigmoid,Rectifier,6,12,0.0030174645963,0.00288774564,0.039290362341,0.0388469013558
Sigmoid,Rectifier,8,4,0.00708130434613,0.00685964056452,0.0578217427133,0.0573001075822
Sigmoid,Rectifier,8,6,0.00561340923226,0.00539445651265,0.0520917291373,0.0517015472894
Sigmoid,Rectifier,8,8,0.00268974248795,0.00262300399792,0.0362517224196,0.0361902161816
Sigmoid,Rectifier,8,10,0.00169875832849,0.00160053566594,0.0279581145655,0.0274923099774
Sigmoid,Rectifier,8,12,0.0010370411358,0.000983589329106,0.0222010189379,0.0217259671106
Sigmoid,Sigmoid,2,4,0.00652065166403,0.00630382922613,0.0561526347156,0.0555888773644
Sigmoid,Sigmoid,2,6,0.00694807768882,0.00673727741995,0.0577523477755,0.0572851810788
Sigmoid,Sigmoid,2,8,0.00635042534661,0.00613018360826,0.055995506094,0.0555545107964
Sigmoid,Sigmoid,2,10,0.00605768904729,0.00584875775391,0.0545729490859,0.0540851286313
Sigmoid,Sigmoid,2,12,0.00676866307861,0.00657315290104,0.0570926272977,0.0565755910941
Sigmoid,Sigmoid,4,4,0.00652909476446,0.0063180969385,0.0566733101131,0.0560924458932
Sigmoid,Sigmoid,4,6,0.00576025233959,0.00558175364571,0.0536945235689,0.0532938797843
Sigmoid,Sigmoid,4,8,0.0057673488514,0.0055661929742,0.0536598242712,0.0532218902583
Sigmoid,Sigmoid,4,10,0.00513193103781,0.00498216599335,0.0508519981956,0.0505469070511
Sigmoid,Sigmoid,4,12,0.00548655060905,0.0053117891588,0.0519696903774,0.0516101170339
Sigmoid,Sigmoid,6,4,0.00572285532067,0.00551743764606,0.0533344646991,0.0527427274764
Sigmoid,Sigmoid,6,6,0.00513355603282,0.0049566120924,0.0514691363394,0.0511228797515
Sigmoid,Sigmoid,6,8,0.00522958498911,0.00503779199248,0.0507738115782,0.0504207404222
Sigmoid,Sigmoid,6,10,0.00438891691172,0.00426107544859,0.0468834331846,0.0466333516438
Sigmoid,Sigmoid,6,12,0.00514178032258,0.00495769077148,0.0505332239441,0.0500903183868
Sigmoid,Sigmoid,8,4,0.00525186505875,0.00507264522109,0.050117412125,0.0496630291862
Sigmoid,Sigmoid,8,6,0.00477058402527,0.00460217655333,0.0491037209672,0.0488993595425
Sigmoid,Sigmoid,8,8,0.00395221387503,0.00379913886897,0.0441644910552,0.0438311761257
Sigmoid,Sigmoid,8,10,0.00358037902037,0.00340598306863,0.0427201346123,0.0423519918208
